name:he,latitude,longitude,belongs,type
נס ציונה,31.9208632,34.7905743,עיר,עיר
רחובות,31.8934429,34.806665,עיר,עיר
מג'דל א-שמס,33.268388,35.776167,עיר,עיר
בוקעאתא,33.2097816,35.7789566,עיר,עיר
מסעדה,33.2303921,35.7745654,עיר,עיר
עין קנייא,33.2391826,35.7342145,עיר,עיר
מצפה רמון,30.6282974,34.8224959,עיר,עיר
ירוחם,31.0127563,34.9124725,עיר,עיר
נאות חובב,31.1181666,34.8430399,עיר,עיר
אשקלון,31.6689613,34.5531364,עיר,עיר
עומר,31.2745169,34.8487248,עיר,עיר
דימונה,31.0780389,35.0850931,עיר,עיר
תל שבע,31.2505692,34.8658582,עיר,עיר
מיתר,31.3236702,34.9374941,עיר,עיר
חורה,31.2957458,34.9405655,עיר,עיר
ערד,31.259903,35.2291369,עיר,עיר
כסייפה,31.240538,35.0912012,עיר,עיר
ערערה בנגב,31.1576075,35.0180527,עיר,עיר
באר שבע,31.2580293,34.7943978,עיר,עיר
שגב שלום,31.2013234,34.829761,עיר,עיר
לקיה,31.3218899,34.8707871,עיר,עיר
אילת,29.6254459,34.944585,עיר,עיר
ע'ג'ר,33.2698823,35.63095,עיר,עיר
קרית שמונה,33.211582,35.5764977,עיר,עיר
מטולה,33.2691661,35.5765482,עיר,עיר
אופקים,31.3080678,34.6361803,עיר,עיר
נתיבות,31.4217959,34.5931104,עיר,עיר
יסוד המעלה,33.061231,35.6049381,עיר,עיר
קצרין,32.9911109,35.6950767,עיר,עיר
רהט,31.3872141,34.7522638,עיר,עיר
להבים,31.3708188,34.809492,עיר,עיר
ראש פינה,32.9924925,35.5572375,עיר,עיר
טובא זנגריה,32.9650651,35.5897844,עיר,עיר
צפת,32.9581555,35.496666,עיר,עיר
חצור הגלילית,32.9851337,35.5421003,עיר,עיר
בית שמש,31.731312,34.9871294,עיר,עיר
קרית גת,31.613324,34.7714058,עיר,עיר
שדרות,31.5328742,34.5999316,עיר,עיר
אשדוד,31.8129899,34.6595346,עיר,עיר
גן יבנה,31.7904866,34.7006846,עיר,עיר
גדרה,31.8145383,34.7803155,עיר,עיר
"בני עי""ש",31.791333,34.7609477,עיר,עיר
עפולה,32.6089799,35.3108286,עיר,עיר
אום אל-פחם,32.5324342,35.1512369,עיר,עיר
מעלה עירון,32.5496539,35.175703,עיר,עיר
בית שאן,32.5017959,35.4956685,עיר,עיר
קרית מלאכי,31.7309347,34.752318,עיר,עיר
יבנה,31.8816585,34.7149299,עיר,עיר
מבשרת ציון,31.7966713,35.1520742,עיר,עיר
מזכרת בתיה,31.840541,34.8442926,עיר,עיר
ירושלים,31.7961435,35.1751235,עיר,עיר
קרית עקרון,31.8615112,34.8225839,עיר,עיר
מודיעין-מכבים-רעות,31.8954236,34.9873159,עיר,עיר
רמלה,31.9257419,34.868026,עיר,עיר
באר יעקב,31.9477459,34.8407975,עיר,עיר
לוד,31.9535985,34.8911491,עיר,עיר
קרית יערים,31.8054662,35.0992853,עיר,עיר
אבו גוש,31.8065162,35.1085953,עיר,עיר
ראשון לציון,31.9749608,34.7787412,עיר,עיר
בית דגן,31.9983838,34.8297841,עיר,עיר
בת ים,32.0131235,34.7453451,עיר,עיר
אזור,32.022503,34.8058962,עיר,עיר
חולון,32.0136965,34.7850257,עיר,עיר
אור יהודה,32.029023,34.8515218,עיר,עיר
יהוד מונוסון,32.0321852,34.8869814,עיר,עיר
רמת גן,32.0708345,34.8268585,עיר,עיר
תל־אביב–יפו,32.0881602,34.7956964,עיר,עיר
פתח תקווה,32.0906419,34.8874427,עיר,עיר
בני ברק,32.0887183,34.8353594,עיר,עיר
הרצליה,32.1734707,34.8261063,עיר,עיר
רמת השרון,32.1353218,34.8317862,עיר,עיר
גבעת שמואל,32.0779996,34.8517752,עיר,עיר
קריית אונו,32.0521514,34.8524764,עיר,עיר
גבעתיים,32.070152,34.8092978,עיר,עיר
נתניה,32.3041939,34.8603758,עיר,עיר
כפר יונה,32.3233058,34.9284807,עיר,עיר
פרדסיה,32.3078967,34.909329,עיר,עיר
הוד השרון,32.1460228,34.8915859,עיר,עיר
רעננה,32.1896838,34.8640112,עיר,עיר
כפר סבא,32.1802248,34.921053,עיר,עיר
כפר שמריהו,32.1858909,34.8261078,עיר,עיר
כפר כמא,32.7197687,35.4333256,עיר,עיר
שבלי - אום אל-ר'נם,32.6858431,35.3968221,עיר,עיר
איכסאל,32.673073,35.3298125,עיר,עיר
מגדל העמק,32.6800668,35.2441377,עיר,עיר
יפיע,32.683597,35.2709737,עיר,עיר
נוף הגליל,32.7253885,35.3497002,עיר,עיר
דבוריה,32.6893614,35.3671203,עיר,עיר
כפר תבור,32.6845378,35.4220878,עיר,עיר
עין מאהל,32.7182083,35.3567982,עיר,עיר
משהד,32.7533568,35.3227225,עיר,עיר
ריינה,32.7291815,35.3055636,עיר,עיר
כפר כנא,32.7530323,35.3465822,עיר,עיר
עילוט,32.720391,35.2634,עיר,עיר
נצרת,32.7045332,35.2897933,עיר,עיר
בועיינה ניג'ידאת,32.8125929,35.3739868,עיר,עיר
ביר אל מכסור,32.7855889,35.2241013,עיר,עיר
טורעאן,32.7753088,35.3808409,עיר,עיר
כפר מנדא,32.806287,35.2612743,עיר,עיר
אעבלין,32.8280041,35.17466,עיר,עיר
כווכב אבו אל-היג'א,32.8295302,35.2511444,עיר,עיר
שפרעם,32.80091,35.1789465,עיר,עיר
טמרה,32.8502268,35.177099,עיר,עיר
כאבול,32.8766928,35.2031154,עיר,עיר
יבנאל,32.7101461,35.5115433,עיר,עיר
טבריה,32.7830887,35.5291301,עיר,עיר
מגדל,32.8364653,35.4946433,עיר,עיר
מר'אר,32.8732293,35.4205252,עיר,עיר
עילבון,32.8422808,35.4001665,עיר,עיר
קרית אתא,32.8015192,35.1060152,עיר,עיר
קרית ביאליק,32.8423869,35.0940029,עיר,עיר
חיפה,32.8003263,35.0148555,עיר,עיר
נשר,32.7668042,35.0420437,עיר,עיר
קרית ים,32.8615738,35.0743102,עיר,עיר
עכו,32.9174426,35.0870296,עיר,עיר
קרית מוצקין,32.8484234,35.0829327,עיר,עיר
דיר אל אסד,32.9443194,35.2751964,עיר,עיר
כרמיאל,32.9124577,35.3116617,עיר,עיר
בענה,32.9289182,35.2785653,עיר,עיר
מג'ד אל כרום,32.9155461,35.229017,עיר,עיר
שעב,32.8931258,35.2232812,עיר,עיר
נחף,32.9350065,35.3167482,עיר,עיר
סג'ור,32.9390008,35.3427176,עיר,עיר
כסרה - סמיע,32.9716817,35.295991,עיר,עיר
כוכב יאיר,32.220069,34.9952116,עיר,עיר
טירה,32.2331504,34.9603285,עיר,עיר
טייבה,32.2615389,34.9990376,עיר,עיר
יקנעם עילית,32.6551822,35.0883266,עיר,עיר
פוריידיס,32.5982889,34.9534574,עיר,עיר
"בסמ""ה",32.5056954,35.1007061,עיר,עיר
כפר קרע,32.5052941,35.047022,עיר,עיר
ערערה,32.5013817,35.0932129,עיר,עיר
ג'וליס,32.9415161,35.1802806,עיר,עיר
ירכא,32.9577981,35.2107279,עיר,עיר
כפר יאסיף,32.9507643,35.1486642,עיר,עיר
ג'דיידה-מכר,32.931292,35.1422728,עיר,עיר
דיר חנא,32.8641681,35.3676261,עיר,עיר
עראבה,32.8558766,35.3406127,עיר,עיר
זכרון יעקב,32.565165,34.9654331,עיר,עיר
בנימינה - גבעת עדה,32.5257485,34.9756072,עיר,עיר
אור עקיבא,32.5023664,34.925904,עיר,עיר
פרדס חנה - כרכור,32.4748661,34.9783627,עיר,עיר
חדרה,32.44078,34.9204764,עיר,עיר
אליכין,32.4078771,34.9219859,עיר,עיר
ג׳סר א-זרקא,32.5384761,34.9060045,עיר,עיר
ראמה,32.9336993,35.3729797,עיר,עיר
סכנין,32.8601439,35.3080001,עיר,עיר
ג'ש,33.0234167,35.4307811,עיר,עיר
בית ג'ן,32.9658943,35.3765296,עיר,עיר
קדימה - צורן,32.2823096,34.921349,עיר,עיר
קלנסווה,32.2930928,34.9779606,עיר,עיר
אבן יהודה,32.267806,34.8812768,עיר,עיר
תל מונד,32.2410455,34.9058504,עיר,עיר
זמר,32.3621263,35.0329572,עיר,עיר
באקה אל-גרבייה,32.4188926,35.0358983,עיר,עיר
חריש,32.4667626,35.0615885,עיר,עיר
אבו סנאן,32.9661483,35.1546362,עיר,עיר
אלעד,32.0512475,34.954834,עיר,עיר
בסמת טבעון,32.7413152,35.146211,עיר,עיר
גני תקווה,32.0632232,34.8754583,עיר,עיר
ראש העין,32.0924245,34.9638132,עיר,עיר
יאנוח - ג'ת,32.978343,35.2445634,עיר,עיר
קריית טבעון,32.7124518,35.1235114,עיר,עיר
טירת הכרמל,32.76453,34.9651143,עיר,עיר
דלית אל-כרמל,32.695598,35.0518342,עיר,עיר
עוספייא,32.7196286,35.062355,עיר,עיר
פסוטה,33.0531058,35.3068637,עיר,עיר
מעלות תרשיחא,33.0142923,35.2456572,עיר,עיר
חורפיש,33.0219039,35.345801,עיר,עיר
ג'לג'וליה,32.1494406,34.9481885,עיר,עיר
כפר ברא,32.1293999,34.9725309,עיר,עיר
כפר קאסם,32.1176142,34.9687157,עיר,עיר
שהם,32.0025298,34.9498422,עיר,עיר
מגדל תפן,32.9751137,35.2755435,עיר,עיר
כפר ורדים,32.9989808,35.2607254,עיר,עיר
שלומי,33.0666284,35.1464075,עיר,עיר
מעיליא,33.0289984,35.2575551,עיר,עיר
מזרעה,32.9845945,35.10328,עיר,עיר
נהריה,33.0158476,35.1346473,עיר,עיר
סביון,32.0451902,34.8786739,עיר,עיר
רמת ישי,32.7062105,35.1688535,עיר,עיר
זרזיר,32.7231939,35.2236426,עיר,עיר
כעביה טבאש חג'אג'רה,32.7501721,35.1845906,עיר,עיר
פקיעין -בוקייעה,32.9776504,35.3236866,עיר,עיר
רכסים,32.7498616,35.1107389,עיר,עיר
ג'ת,32.4013056,35.030802,עיר,עיר
אלפי מנשה,32.1631428,35.0056984,עיר,עיר
צור הדסה,31.7182052,35.0995369,עיר,עיר
עזוז,30.7916672,34.4722219,מועצה אזורית רמת נגב,ישוב
שדה בוקר,30.8737395,34.7925947,מועצה אזורית רמת נגב,ישוב
אשלים,30.9638905,34.7002742,מועצה אזורית רמת נגב,ישוב
ניצנה,30.8863231,34.421866,מועצה אזורית רמת נגב,ישוב
משאבי שדה,31.0032681,34.7861244,מועצה אזורית רמת נגב,ישוב
ניצני סיני,30.903912,34.3968932,מועצה אזורית רמת נגב,ישוב
טללים,30.9919058,34.7700732,מועצה אזורית רמת נגב,ישוב
מרחב עם,30.8886192,34.828885,מועצה אזורית רמת נגב,ישוב
כמהין,30.9100139,34.4310272,מועצה אזורית רמת נגב,ישוב
באר מילכה,30.9328457,34.4070405,מועצה אזורית רמת נגב,ישוב
רתמים,31.0539263,34.690428,מועצה אזורית רמת נגב,ישוב
שיזף,31.0016511,34.7654842,מועצה אזורית רמת נגב,ישוב
רביבים,31.0431631,34.7207022,מועצה אזורית רמת נגב,ישוב
עבדה,30.7521979,34.7764715,מועצה אזורית רמת נגב,ישוב
אל-בקאר,30.848957,34.7362894,מועצה אזורית רמת נגב,ישוב
מדרשת בן גוריון,30.8515927,34.7825759,מועצה אזורית רמת נגב,ישוב
ואדי אריכא,30.6868943,34.7827793,מועצה אזורית רמת נגב,ישוב
עבדה,30.809602,34.7560859,מועצה אזורית רמת נגב,ישוב
ואדי אל-משאש,31.0810276,34.8477767,מועצה אזורית רמת נגב,ישוב
מסלול,31.3253422,34.5885811,מועצה אזורית מרחבים,ישוב
פדויים,31.3277011,34.612047,מועצה אזורית מרחבים,ישוב
בטחה,31.3342804,34.6344922,מועצה אזורית מרחבים,ישוב
מבועים,31.4492727,34.6547505,מועצה אזורית מרחבים,ישוב
פטיש,31.3273849,34.5602722,מועצה אזורית מרחבים,ישוב
שדה צבי,31.4485403,34.713287,מועצה אזורית מרחבים,ישוב
קלחים,31.4505907,34.6780963,מועצה אזורית מרחבים,ישוב
אשל הנשיא,31.3253413,34.6977854,מועצה אזורית מרחבים,ישוב
טל אור,31.3520796,34.4971043,מועצה אזורית מרחבים,ישוב
ניר עקיבא,31.4695439,34.64547,מועצה אזורית מרחבים,ישוב
"פעמי תש""ז",31.4381567,34.6930068,מועצה אזורית מרחבים,ישוב
תלמי ביל״ו,31.4377026,34.6454808,מועצה אזורית מרחבים,ישוב
רנן,31.3377917,34.6004634,מועצה אזורית מרחבים,ישוב
תפרח,31.3265145,34.677459,מועצה אזורית מרחבים,ישוב
ניר משה,31.4772702,34.6299737,מועצה אזורית מרחבים,ישוב
אשבול,31.4475021,34.6664352,מועצה אזורית מרחבים,ישוב
גילת,31.329171,34.6516508,מועצה אזורית מרחבים,ישוב
שבי דרום,31.4655951,34.6358264,מועצה אזורית מרחבים,ישוב
עדי נגב - נחלת ערן,31.3155253,34.5945971,מועצה אזורית מרחבים,ישוב
דביר,31.4134736,34.8232634,מועצה אזורית בני שמעון,ישוב
נבטים,31.2225371,34.8807983,מועצה אזורית בני שמעון,ישוב
ברוש,31.3706542,34.6350858,מועצה אזורית בני שמעון,ישוב
חצרים,31.24041,34.7150744,מועצה אזורית בני שמעון,ישוב
בית קמה,31.4475406,34.7622872,מועצה אזורית בני שמעון,ישוב
שובל,31.4143179,34.7437672,מועצה אזורית בני שמעון,ישוב
משמר הנגב,31.3641285,34.7186798,מועצה אזורית בני שמעון,ישוב
תדהר,31.379004,34.6284545,מועצה אזורית בני שמעון,ישוב
להב,31.3794212,34.8701057,מועצה אזורית בני שמעון,ישוב
תאשור,31.3718709,34.6437068,מועצה אזורית בני שמעון,ישוב
שומריה,31.4317698,34.8857795,מועצה אזורית בני שמעון,ישוב
גבעות בר,31.3556259,34.7592233,מועצה אזורית בני שמעון,ישוב
אעצם,31.2945366,34.901081,מועצה אזורית בני שמעון,ישוב
כרמים,31.3356266,34.9190091,מועצה אזורית בני שמעון,ישוב
אל-עראקיב,31.3461717,34.7796999,מועצה אזורית בני שמעון,ישוב
אל עביד,31.3668804,34.8618054,מועצה אזורית בני שמעון,ישוב
אל-עראקיב,31.3223695,34.7491721,מועצה אזורית בני שמעון,ישוב
ביר אל חמאם,31.2314737,34.9003974,מועצה אזורית בני שמעון,ישוב
ח'אשם זאנה,31.2026412,34.8830699,מועצה אזורית בני שמעון,ישוב
כרכור,31.3464736,34.7673197,מועצה אזורית בני שמעון,ישוב
Unknown,31.3502218,34.7612481,מועצה אזורית בני שמעון,ישוב
חוות הר שמש,31.3925761,34.8428239,מועצה אזורית בני שמעון,ישוב
קצר א סיר,31.0793738,34.9848798,מועצה אזורית נווה מדבר,ישוב
ביר הדאג',31.0262625,34.7031024,מועצה אזורית נווה מדבר,ישוב
הוואשלה,31.0933681,34.9773785,מועצה אזורית נווה מדבר,ישוב
בית פלט,31.1858851,34.9357531,מועצה אזורית נווה מדבר,ישוב
אבו תלול,31.1861956,34.9128014,מועצה אזורית נווה מדבר,ישוב
אבו עשיבה,31.1249343,34.9587107,מועצה אזורית נווה מדבר,ישוב
אבו עמאר,31.1373783,34.9532604,מועצה אזורית נווה מדבר,ישוב
עין חצבה,30.7982828,35.2463979,מועצה אזורית תמר,ישוב
עין בוקק,31.2013827,35.3638836,מועצה אזורית תמר,ישוב
נאות הכיכר,30.9330032,35.3772356,מועצה אזורית תמר,ישוב
נווה זוהר,31.1529016,35.365301,מועצה אזורית תמר,ישוב
עין גדי,31.4523959,35.3848241,מועצה אזורית תמר,ישוב
הר עמשא,31.3426169,35.1021887,מועצה אזורית תמר,ישוב
עין תמר,30.943309,35.3747349,מועצה אזורית תמר,ישוב
קבועה,31.2251888,35.2171235,מועצה אזורית תמר,ישוב
ישוב בדואי,31.2756726,35.2835653,מועצה אזורית תמר,ישוב
באר מנוחה,30.3075298,35.1352113,מועצה אזורית הערבה התיכונה,ישוב
ספיר,30.6140945,35.1846411,מועצה אזורית הערבה התיכונה,ישוב
פארן,30.3626131,35.1538972,מועצה אזורית הערבה התיכונה,ישוב
עין יהב,30.6569021,35.2381753,מועצה אזורית הערבה התיכונה,ישוב
צופר,30.5586234,35.1801426,מועצה אזורית הערבה התיכונה,ישוב
עידן,30.8060345,35.2994035,מועצה אזורית הערבה התיכונה,ישוב
חצבה,30.7677164,35.2796246,מועצה אזורית הערבה התיכונה,ישוב
צוקים,30.4916247,35.1647889,מועצה אזורית הערבה התיכונה,ישוב
עיר אובות,30.8117804,35.2469853,מועצה אזורית הערבה התיכונה,ישוב
"נח""ל יעלון",30.0517959,35.0424032,מועצה אזורית חבל אילות,ישוב
שיטים,30.1767668,35.0164837,מועצה אזורית חבל אילות,ישוב
יטבתה,29.8959204,35.0596217,מועצה אזורית חבל אילות,ישוב
נווה חריף,30.0389533,35.0358704,מועצה אזורית חבל אילות,ישוב
באר אורה,29.7101748,34.986604,מועצה אזורית חבל אילות,ישוב
אילות,29.5812438,34.962663,מועצה אזורית חבל אילות,ישוב
נאות סמדר,30.0486435,35.0257351,מועצה אזורית חבל אילות,ישוב
גרופית,29.941716,35.0642049,מועצה אזורית חבל אילות,ישוב
יהל,30.0819416,35.1287689,מועצה אזורית חבל אילות,ישוב
קטורה,29.9696388,35.0610494,מועצה אזורית חבל אילות,ישוב
אליפז,29.7964294,35.0119398,מועצה אזורית חבל אילות,ישוב
סמר,29.8333743,35.022744,מועצה אזורית חבל אילות,ישוב
לוטן,29.9867806,35.0886439,מועצה אזורית חבל אילות,ישוב
שחרות,29.9036921,34.9992198,מועצה אזורית חבל אילות,ישוב
דישון,33.0813243,35.5175202,מועצה אזורית מבואות החרמון,ישוב
שדה אליעזר,33.0458869,35.5641252,מועצה אזורית מבואות החרמון,ישוב
רמות נפתלי,33.1022971,35.5531168,מועצה אזורית מבואות החרמון,ישוב
אליפלט,32.9480271,35.547389,מועצה אזורית מבואות החרמון,ישוב
בית הלל,33.2083012,35.6069281,מועצה אזורית מבואות החרמון,ישוב
שאר ישוב,33.2272088,35.6463364,מועצה אזורית מבואות החרמון,ישוב
מרגליות,33.2148047,35.5444859,מועצה אזורית מבואות החרמון,ישוב
משמר הירדן,33.0055656,35.6002731,מועצה אזורית מבואות החרמון,ישוב
כחל,32.8913179,35.5107113,מועצה אזורית מבואות החרמון,ישוב
כרכום,32.9293327,35.6085627,מועצה אזורית מבואות החרמון,ישוב
אמנון,32.9043478,35.5705088,מועצה אזורית מבואות החרמון,ישוב
כורזים,32.9109804,35.5526611,מועצה אזורית מבואות החרמון,ישוב
כפר יובל,33.2474176,35.5974916,מועצה אזורית מבואות החרמון,ישוב
כפר בלום,33.1723656,35.6101218,מועצה אזורית גליל עליון,ישוב
מלכיה,33.0992486,35.5116985,מועצה אזורית גליל עליון,ישוב
משגב עם,33.2477885,35.5486672,מועצה אזורית גליל עליון,ישוב
קדרים,32.8984224,35.4737461,מועצה אזורית גליל עליון,ישוב
מחניים,32.9886405,35.570735,מועצה אזורית גליל עליון,ישוב
סאסא,33.026907,35.39499,מועצה אזורית גליל עליון,ישוב
דפנה,33.2303715,35.6392634,מועצה אזורית גליל עליון,ישוב
גונן,33.1238763,35.6462866,מועצה אזורית גליל עליון,ישוב
עמיר,33.1787718,35.620776,מועצה אזורית גליל עליון,ישוב
דן,33.2400913,35.6530878,מועצה אזורית גליל עליון,ישוב
מנרה,33.195939,35.5446083,מועצה אזורית גליל עליון,ישוב
עמיעד,32.9262991,35.5412309,מועצה אזורית גליל עליון,ישוב
ברעם,33.0586061,35.4338884,מועצה אזורית גליל עליון,ישוב
חולתה,33.0511117,35.6091616,מועצה אזורית גליל עליון,ישוב
שמיר,33.163887,35.6591721,מועצה אזורית גליל עליון,ישוב
נאות מרדכי,33.160576,35.5965774,מועצה אזורית גליל עליון,ישוב
יפתח,33.1286135,35.5519473,מועצה אזורית גליל עליון,ישוב
כפר סאלד,33.1946879,35.657851,מועצה אזורית גליל עליון,ישוב
איילת השחר,33.0215976,35.5759521,מועצה אזורית גליל עליון,ישוב
כפר הנשיא,32.9748875,35.6038283,מועצה אזורית גליל עליון,ישוב
יראון,33.0777838,35.455753,מועצה אזורית גליל עליון,ישוב
שדה נחמיה,33.1869061,35.6245075,מועצה אזורית גליל עליון,ישוב
להבות הבשן,33.1406178,35.646246,מועצה אזורית גליל עליון,ישוב
הגושרים,33.2211258,35.6230745,מועצה אזורית גליל עליון,ישוב
שניר,33.2410034,35.6781947,מועצה אזורית גליל עליון,ישוב
כפר גלעדי,33.2417843,35.5749608,מועצה אזורית גליל עליון,ישוב
מעיין ברוך,33.2397998,35.6078756,מועצה אזורית גליל עליון,ישוב
גדות,33.0180702,35.6189207,מועצה אזורית גליל עליון,ישוב
צבעון,33.0259411,35.4165978,מועצה אזורית גליל עליון,ישוב
מבוא חמה,32.7363463,35.6556132,מועצה אזורית גולן,ישוב
אלי עד,32.8060623,35.7337191,מועצה אזורית גולן,ישוב
מעלה גמלא,32.8892522,35.6853352,מועצה אזורית גולן,ישוב
גשור,32.8191803,35.716008,מועצה אזורית גולן,ישוב
מיצר,32.7686851,35.7369807,מועצה אזורית גולן,ישוב
נטור,32.8538055,35.7514617,מועצה אזורית גולן,ישוב
כנף,32.8694734,35.6979749,מועצה אזורית גולן,ישוב
